Concept,ComponentUnits,BusinessTypeActivities,CapitalGrantsAndContributions,ChargesForServices,ActivitityExpenses,GovernmentalActivities,OperatingGrantsAndContributions
Statement of Activities,,,,,,,
    statementOfActivities,,,,,,,
        Functions and Programs,,,,,,,
            Component Units,,,,,,,
"                Component Units, Bond Bank Authority",,,,,,,
"                Component Units, College and University Foundation",,,,,,,
"                Component Units, General","-4,020",,"2,869","17,191","31,348",,"7,268"
"                Component Units, Health Insurance Exchange",,,,,,,
"                Component Units, Health Reinsurance",,,,,,,
"                Component Units, Idaho Housing and Finance Association",,,,,,,
"                Component Units, Petroleum Clean Water Trust Fund",,,,,,,
"            General Revenues, Contributions, and Transfers","3,991","2,086",,,,"60,902",
                General Revenues,"3,991",274,,,,"63,060",
"                    General Revenues, Grants and Contributions, Not Restricted","1,075",0,,,,0,
"                    General Revenues, Investment Earnings",909,39,,,,115,
"                    General Revenues, Miscellaneous","2,007",235,,,,"4,906",
"                    General Revenues, State Payments",,,,,,,
"                    General Revenues, Taxes",,,,,,,
"                        General Revenues, Taxes, Business",0,0,,,,"7,662",
"                        General Revenues, Taxes, Consumption and Use",0,0,,,,"13,076",
"                        General Revenues, Taxes, Fuel",,,,,,,
"                        General Revenues, Taxes, Individual and Corporate",,,,,,,
"                        General Revenues, Taxes, Other",0,0,,,,"2,780",
"                        General Revenues, Taxes, Personal Income",0,0,,,,"34,521",
"                        General Revenues, Taxes, Sales",,,,,,,
"                    General Revenues, Tobacco Settlement",,,,,,,
                Permanent Endowment Contributions,,,,,,,
                Special Item,,,,,,,
                Transfers,0,"1,812",,,,"-2,158",
            Net Asset Summary,,,,,,,
"                Net Assets, Beginning of Year","37,798","3,031",,,,"30,894",
"                Net Assets, Change",-29,"-2,915",,,,"-2,918",
"                Net Assets, End of Year","37,769",116,,,,"27,976",
            Primary Government,0,"-5,001","1,288","23,451","154,521","-63,820","60,961"
"                Primary Government, Business-type Activities",0,"-5,001",48,"11,892","27,844",0,"10,903"
"                    Primary Government, Business-type Activities, Correctional Industries",,,,,,,
"                    Primary Government, Business-type Activities, Loan",,,,,,,
"                    Primary Government, Business-type Activities, Lottery",0,"2,597",0,"7,818","5,221",0,0
"                    Primary Government, Business-type Activities, State Liquor",,,,,,,
"                    Primary Government, Business-type Activities, Unemployment Insurance",0,"-1,664",0,0,"10,267",0,"8,603"
"                    Primary Government, Business-type Activities, Universities",,,,,,,
"                        Primary Government, Business-type Activities, Universities, City University of New York",0,"-1,579",0,541,"2,847",0,727
"                        Primary Government, Business-type Activities, Universities, General",,,,,,,
"                        Primary Government, Business-type Activities, Universities, State University of New York",0,"-4,355",48,"3,533","9,509",0,"1,573"
"                Primary Government, Governmental Activities",0,0,"1,240","11,559","126,677","-63,820","50,058"
"                    Primary Government, Governmental Activities, Economic Development",0,0,0,"1,528","1,713",-171,14
"                    Primary Government, Governmental Activities, Education",0,0,0,118,"31,075","-27,222","3,735"
"                    Primary Government, Governmental Activities, Environment and Recreation",0,0,93,324,"1,338",-817,104
"                    Primary Government, Governmental Activities, General",0,0,0,"1,989","9,234","-6,408",837
"                    Primary Government, Governmental Activities, Interest Expense",0,0,0,0,"1,839","-1,834",5
"                    Primary Government, Governmental Activities, Natural Resources",,,,,,,
"                    Primary Government, Governmental Activities, Public Health",0,0,0,"5,086","51,499","-13,185","33,228"
"                    Primary Government, Governmental Activities, Public Safety",0,0,15,173,"5,641","-4,883",570
"                    Primary Government, Governmental Activities, Public Welfare",0,0,0,"1,024","16,226","-4,205","10,997"
"                    Primary Government, Governmental Activities, Transportation",0,0,"1,132","1,317","8,112","-5,095",568
