Concept,ComponentUnits,BusinessTypeActivities,CapitalGrantsAndContributions,ChargesForServices,ActivitityExpenses,GovernmentalActivities,OperatingGrantsAndContributions
Statement of Activities,,,,,,,
    statementOfActivities,,,,,,,
        Functions and Programs,,,,,,,
            Component Units,,,,,,,
"                Component Units, Bond Bank Authority",,,,,,,
"                Component Units, College and University Foundation",,,,,,,
"                Component Units, General","-4,752",,"3,009","19,145","35,063",,"8,157"
"                Component Units, Health Insurance Exchange",,,,,,,
"                Component Units, Health Reinsurance",,,,,,,
"                Component Units, Idaho Housing and Finance Association",,,,,,,
"                Component Units, Petroleum Clean Water Trust Fund",,,,,,,
"            General Revenues, Contributions, and Transfers","5,332","2,467",,,,"68,006",
                General Revenues,"5,332",750,,,,"70,088",
"                    General Revenues, Grants and Contributions, Not Restricted","2,138",0,,,,0,
"                    General Revenues, Investment Earnings","1,095",131,,,,54,
"                    General Revenues, Miscellaneous","2,099",619,,,,"2,103",
"                    General Revenues, State Payments",,,,,,,
"                    General Revenues, Taxes",,,,,,,
"                        General Revenues, Taxes, Business",0,0,,,,"8,285",
"                        General Revenues, Taxes, Consumption and Use",0,0,,,,"14,593",
"                        General Revenues, Taxes, Fuel",,,,,,,
"                        General Revenues, Taxes, Individual and Corporate",,,,,,,
"                        General Revenues, Taxes, Other",0,0,,,,"3,078",
"                        General Revenues, Taxes, Personal Income",0,0,,,,"41,975",
"                        General Revenues, Taxes, Sales",,,,,,,
"                    General Revenues, Tobacco Settlement",,,,,,,
                Permanent Endowment Contributions,,,,,,,
                Special Item,,,,,,,
                Transfers,0,"1,717",,,,"-2,082",
            Net Asset Summary,,,,,,,
"                Net Assets, Beginning of Year","38,099",-658,,,,"26,333",
"                Net Assets, Change",580,-264,,,,-62,
"                Net Assets, End of Year","38,679",922,,,,"26,271",
            Primary Government,0,"-2,731","1,434","27,264","156,900","-68,068","57,403"
"                Primary Government, Business-type Activities",0,"-2,731",64,"13,733","25,594",0,"9,066"
"                    Primary Government, Business-type Activities, Correctional Industries",,,,,,,
"                    Primary Government, Business-type Activities, Loan",,,,,,,
"                    Primary Government, Business-type Activities, Lottery",0,"3,020",0,"8,934","5,914",0,0
"                    Primary Government, Business-type Activities, State Liquor",,,,,,,
"                    Primary Government, Business-type Activities, Unemployment Insurance",0,-244,0,0,"6,718",0,"6,474"
"                    Primary Government, Business-type Activities, Universities",,,,,,,
"                        Primary Government, Business-type Activities, Universities, City University of New York",0,"-1,519",0,659,"3,022",0,844
"                        Primary Government, Business-type Activities, Universities, General",,,,,,,
"                        Primary Government, Business-type Activities, Universities, State University of New York",0,"-3,988",64,"4,140","9,940",0,"1,748"
"                Primary Government, Governmental Activities",0,0,"1,370","13,531","131,306","-68,068","48,337"
"                    Primary Government, Governmental Activities, Economic Development",0,0,0,"1,855","1,423",459,27
"                    Primary Government, Governmental Activities, Education",0,0,0,94,"31,125","27,416","3,615"
"                    Primary Government, Governmental Activities, Environment and Recreation",0,0,19,245,"1,376",-768,344
"                    Primary Government, Governmental Activities, General",0,0,0,"3,664","7,394","-3,518",212
"                    Primary Government, Governmental Activities, Interest Expense",0,0,0,0,"1,823","-1,780",43
"                    Primary Government, Governmental Activities, Natural Resources",,,,,,,
"                    Primary Government, Governmental Activities, Public Health",0,0,13,"5,671","55,042","-20,070","29,288"
"                    Primary Government, Governmental Activities, Public Safety",0,0,9,141,"8,264","-6,053","2,061"
"                    Primary Government, Governmental Activities, Public Welfare",0,0,2,490,"15,931","-3,242","12,197"
"                    Primary Government, Governmental Activities, Transportation",0,0,"1,327","1,371","8,928","-5,680",550
